Warning: No valid result captured for np=36, NITER=1000000, N=1000
Warning: No valid result captured for np=72, NITER=1000000, N=1000
Warning: No valid result captured for np=144, NITER=1000000, N=1000
Warning: No valid result captured for np=54, NITER=1000000, N=1000
Warning: No valid result captured for np=216, NITER=1000000, N=1000
Warning: No valid result captured for np=72, NITER=1000000, N=1000
Warning: No valid result captured for np=288, NITER=1000000, N=1000
Warning: No valid result captured for np=72, NITER=100000, N=4000
Warning: No valid result captured for np=72, NITER=100000, N=4000
Warning: No valid result captured for np=144, NITER=100000, N=4000
Warning: No valid result captured for np=216, NITER=100000, N=4000
Warning: No valid result captured for np=288, NITER=100000, N=4000
Warning: No valid result captured for np=288, NITER=10000, N=10000
