Ranks,NITER,N,MFlops,Time
1,1000000,1000,7061.37,283.23
2,1000000,1000,12188.57,164.09
3,1000000,1000,16907.87,118.29
4,1000000,1000,21078.03,94.89
5,1000000,1000,32013.77,62.47
6,1000000,1000,37588.49,53.21
7,1000000,1000,43143.30,46.36
8,1000000,1000,45979.54,43.50
9,1000000,1000,49353.83,40.52
10,1000000,1000,50084.46,39.93
11,1000000,1000,46267.92,43.23
12,1000000,1000,47866.36,41.78
13,1000000,1000,44266.89,45.18
14,1000000,1000,48365.81,41.35
15,1000000,1000,41689.80,47.97
16,1000000,1000,39136.50,51.10
17,1000000,1000,36552.55,54.72
18,1000000,1000,40152.75,49.81
1,100000,4000,3943.98,811.36
2,100000,4000,7806.63,409.91
3,100000,4000,11683.73,273.89
4,100000,4000,14476.52,221.05
5,100000,4000,16315.61,196.13
6,100000,4000,17156.25,186.52
7,100000,4000,17697.48,180.82
8,100000,4000,17765.84,180.12
9,100000,4000,18394.69,173.96
10,100000,4000,19330.58,165.54
11,100000,4000,19270.34,166.06
12,100000,4000,20079.84,159.36
13,100000,4000,20862.07,153.39
14,100000,4000,21268.94,150.45
15,100000,4000,21622.13,148.00
16,100000,4000,22322.23,143.35
17,100000,4000,22644.18,141.32
18,100000,4000,22774.80,140.51
1,10000,10000,3863.45,517.67
2,10000,10000,7487.49,267.11
3,10000,10000,11336.03,176.43
4,10000,10000,14096.87,141.88
5,10000,10000,15815.67,126.46
6,10000,10000,16811.67,118.96
7,10000,10000,17181.20,116.41
8,10000,10000,17063.10,117.21
9,10000,10000,17567.81,113.84
10,10000,10000,17951.51,111.41
11,10000,10000,17807.55,112.31
12,10000,10000,18491.28,108.16
13,10000,10000,19050.99,104.98
14,10000,10000,19395.10,103.12
15,10000,10000,19492.51,102.60
16,10000,10000,19397.81,103.10
17,10000,10000,19574.15,102.18
18,10000,10000,19403.98,103.07
1,5000,20000,3739.02,1069.80
2,5000,20000,7621.00,524.87
3,5000,20000,11561.12,345.99
4,5000,20000,14367.54,278.41
5,5000,20000,16151.27,247.66
6,5000,20000,17293.88,231.30
7,5000,20000,17686.50,226.16
8,5000,20000,17634.70,226.83
9,5000,20000,18072.24,221.33
10,5000,20000,18259.89,219.06
11,5000,20000,18069.40,221.37
12,5000,20000,18764.28,213.17
13,5000,20000,19385.72,206.34
14,5000,20000,19918.85,200.81
15,5000,20000,20196.54,198.05
16,5000,20000,20211.35,197.91
17,5000,20000,20220.01,197.82
18,5000,20000,20077.99,199.22
