omega,iterations,walltime,status
1.00,515423,313.04s,CV
1.01,495815,301.05s,CV
1.02,476767,289.46s,CV
1.03,458258,278.64s,CV
1.04,440267,267.32s,CV
1.05,422774,257.05s,CV
1.06,405760,246.75s,CV
1.07,389206,236.34s,CV
1.08,373095,226.56s,CV
1.09,357410,217.12s,CV
1.10,342135,207.80s,CV
1.11,327256,198.98s,CV
1.12,312756,190.19s,CV
1.13,298623,181.31s,CV
1.14,284843,172.95s,CV
1.15,271403,165.01s,CV
1.16,258290,157.02s,CV
1.17,245492,149.25s,CV
1.18,232999,141.51s,CV
1.19,220798,134.27s,CV
1.20,208879,126.82s,CV
1.21,197233,119.94s,CV
1.22,185848,112.81s,CV
1.23,174714,106.24s,CV
1.24,163824,99.49s,CV
1.25,153166,92.96s,CV
1.26,142732,86.75s,CV
1.27,132513,80.58s,CV
1.28,122500,74.42s,CV
1.29,112685,68.45s,CV
1.30,103057,62.66s,CV
1.31,93609,56.87s,CV
1.32,84330,51.30s,CV
1.33,75211,45.73s,CV
1.34,66241,40.22s,CV
1.35,57408,34.88s,CV
1.36,48699,29.59s,CV
1.37,40096,24.35s,CV
1.38,31576,19.20s,CV
1.39,23105,14.06s,CV
1.40,14614,8.88s,CV
1.41,5864,3.58s,CV
1.42,25504,15.51s,DV
1.43,8245,5.01s,DV
1.44,5026,3.06s,DV
1.45,3643,2.21s,DV
1.46,2871,1.75s,DV
1.47,2377,1.45s,DV
1.48,2034,1.24s,DV
1.49,1781,1.08s,DV
1.50,1588,0.97s,DV
1.51,1434,0.87s,DV
1.52,1309,0.79s,DV
1.53,1206,0.74s,DV
1.54,1119,0.68s,DV
1.55,1045,0.64s,DV
1.56,981,0.60s,DV
1.57,925,0.56s,DV
1.58,876,0.53s,DV
1.59,833,0.51s,DV
1.60,794,0.48s,DV
1.61,759,0.46s,DV
1.62,728,0.44s,DV
1.63,699,0.43s,DV
1.64,673,0.41s,DV
1.65,649,0.39s,DV
1.66,627,0.38s,DV
1.67,607,0.37s,DV
1.68,588,0.36s,DV
1.69,571,0.35s,DV
1.70,555,0.34s,DV
1.71,540,0.33s,DV
1.72,525,0.32s,DV
1.73,512,0.31s,DV
1.74,500,0.30s,DV
1.75,488,0.30s,DV
1.76,477,0.29s,DV
1.77,466,0.28s,DV
1.78,457,0.28s,DV
1.79,447,0.27s,DV
1.80,438,0.27s,DV
1.81,430,0.26s,DV
1.82,422,0.26s,DV
1.83,414,0.25s,DV
1.84,407,0.25s,DV
1.85,400,0.24s,DV
1.86,393,0.24s,DV
1.87,386,0.23s,DV
1.88,380,0.23s,DV
1.89,374,0.23s,DV
1.90,369,0.22s,DV
1.91,363,0.22s,DV
1.92,358,0.22s,DV
1.93,353,0.21s,DV
1.94,348,0.21s,DV
1.95,343,0.21s,DV
1.96,339,0.21s,DV
1.97,335,0.20s,DV
1.98,330,0.20s,DV
1.99,326,0.20s,DV
