tasks,iterations,walltime,status
1,N/A,file,N/A
2,1298767,2477.87s,CV
3,1298767,1656.07s,CV
4,1298767,1250.33s,CV
5,1298767,1002.58s,CV
6,1298767,841.00s,CV
7,1298767,722.89s,CV
8,1298767,633.75s,CV
9,1298767,565.99s,CV
10,1298767,509.85s,CV
11,1298767,466.22s,CV
12,1298767,428.73s,CV
13,1298767,396.18s,CV
14,1298767,368.38s,CV
15,1298767,345.24s,CV
16,1298767,325.08s,CV
17,1298767,305.89s,CV
18,1298767,291.13s,CV
19,1298767,276.06s,CV
20,1298767,261.50s,CV
21,1298767,252.54s,CV
22,1298767,239.33s,CV
23,1298767,229.28s,CV
24,1298767,222.21s,CV
25,1298767,212.24s,CV
26,1298767,204.62s,CV
27,1298767,197.29s,CV
28,1298767,192.60s,CV
29,1298767,185.09s,CV
30,1298767,179.61s,CV
31,1298767,174.42s,CV
32,1298767,169.68s,CV
